threshold,precision,recall,tp,fp,tn,fn,keep_ratio,reject_ratio,good_reject_ratio,bad_reject_ratio,speedup,hours_saved,meets_recall_target
0.05,0.5344551282051282,1.0,1334,1162,28,0,0.9889064976228209,0.011093502377179099,0.0,0.023529411764705882,1.010933983554299,0.5407862299700679,True
0.1,0.5411764705882353,1.0,1334,1131,59,0,0.9766244057052298,0.023375594294770208,0.0,0.04957983193277311,1.0236439399026014,1.1548908258496198,True
0.15,0.548745372274784,1.0,1334,1097,93,0,0.9631537242472267,0.03684627575277333,0.0,0.07815126050420168,1.03795651055434,1.8284248987497833,True
0.2,0.5561118064246975,0.9992503748125937,1333,1064,126,1,0.9496830427892234,0.05031695721077656,0.0007496251874062968,0.10588235294117647,1.0526749928519494,2.501958971649939,True
0.25,0.56928999144568,0.9977511244377811,1331,1007,183,3,0.9263074484944532,0.07369255150554677,0.0022488755622188904,0.15378151260504203,1.0792315392542204,3.6707386863884475,True
0.3,0.5866962305986696,0.9917541229385307,1323,932,258,11,0.8934231378763867,0.10657686212361328,0.008245877061469266,0.21680672268907564,1.1189425707011025,5.314954217291775,True
0.35,0.5979147778785131,0.9887556221889056,1319,887,303,15,0.8740095087163233,0.12599049128367668,0.011244377811094454,0.2546218487394958,1.1437887928234753,6.285635675294939,True
0.39999999999999997,0.6159351145038168,0.9677661169415293,1291,805,385,43,0.8304278922345484,0.16957210776545162,0.03223388305847077,0.3235294117647059,1.203795804096488,8.46471649938369,True
0.44999999999999996,0.6249363867684479,0.9205397301349325,1228,737,453,106,0.778526148969889,0.22147385103011097,0.07946026986506746,0.380672268907563,1.2840202336627418,11.059803662616654,True
0.49999999999999994,0.6321014892443464,0.8590704647676162,1146,667,523,188,0.7183042789223455,0.2816957210776545,0.1409295352323838,0.4394957983193277,1.3916295163174626,14.070897164993836,False
0.5499999999999999,0.6415441176470589,0.7848575712143928,1047,585,605,287,0.6465927099841522,0.3534072900158478,0.2151424287856072,0.5084033613445378,1.5459045031716356,17.6564756119035,False
0.6,0.6530758226037195,0.684407796101949,913,485,705,421,0.5538827258320127,0.4461172741679873,0.315592203898051,0.592436974789916,1.8045313469401374,22.29197481951048,False
0.65,0.6789699570815451,0.5929535232383808,791,374,816,543,0.4615689381933439,0.5384310618066561,0.4070464767616192,0.6857142857142857,2.1652205491973833,26.907664201443918,False
0.7,0.7306967984934086,0.5817091454272864,776,286,904,558,0.4207606973058637,0.5792393026941363,0.41829085457271364,0.7596638655462185,2.3750798541661657,28.948076245817926,False
0.75,0.8,0.5637181409295352,752,188,1002,582,0.3724247226624406,0.6275752773375594,0.4362818590704648,0.8420168067226891,2.6831051544297337,31.364874977989082,False
0.7999999999999999,0.8370165745856354,0.4542728635682159,606,118,1072,728,0.2868462757527734,0.7131537242472266,0.545727136431784,0.9008403361344538,3.482815137581624,35.64379732347244,False
0.85,0.8961303462321792,0.32983508245877063,440,51,1139,894,0.1945324881141046,0.8054675118858954,0.6701649175412294,0.9571428571428572,5.133199708043053,40.259486705405884,False
0.9,0.903114186851211,0.1956521739130435,261,28,1162,1073,0.11450079239302693,0.8854992076069731,0.8043478260869565,0.9764705882352941,8.712427751207185,44.26107149145977,False
0.95,0.9591836734693877,0.17616191904047976,235,10,1180,1099,0.09706814580031696,0.902931854199683,0.8238380809595203,0.9915966386554622,10.272643817465665,45.13270382109527,False
